2012/5/1,Rockets,,Kyle Lowry,surgery to repair sports hernia (out indefinitely)
2012/5/2,Suns,,Channing Frye,surgery on right shoulder (out indefinitely)
2012/5/3,Bucks,,Carlos Delfino,surgery to repair sports hernia (out indefinitely)
2012/5/6,Knicks,,Baron Davis,"torn ACL, MCL, and patella tendon in right knee (out for season)"
2012/5/7,Bucks,,Luc Richard Mbah a Moute / Luc Mbah a Moute,surgery on right knee to repair tendinitis
2012/5/10,Blazers,,LaMarcus Aldridge,arthroscopic surgery on right hip to repair torn labrum (out indefinitely)
2012/5/12,Bulls,,Derrick Rose,surgery on left knee to repair torn ACL
2012/5/15,Timberwolves,,Nikola Pekovic,surgery on right ankle to remove bone spurs (out indefinitely)
2012/5/16,Nuggets,,Al Harrington,surgery on right knee to repair torn meniscus (out indefinitely)
2012/5/25,Celtics,,Avery Bradley,surgery on left shoulder (out for season)
2012/6/14,Celtics,,Mickael Pietrus,arthroscopic surgery on right knee (out indefinitely)
2012/6/14,Celtics,,Ray Allen,arthroscopic surgery on right ankle to remove bone spurs (out indefinitely)
2012/7/10,Heat,,Dwyane Wade,surgery on left knee (out indefinitely)
2012/7/11,Thunder,,Hollis Thompson,surgery on left groin (out indefinitely)
2012/7/12,Clippers,,Blake Griffin,torn meniscus in left knee (out indefinitely)
2012/7/12,Thunder,,Kendrick Perkins,surgery on right groin (out indefinitely)
2012/7/14,Cavaliers,,Kyrie Irving,broken right hand (out indefinitely)
2012/7/16,Clippers,,Blake Griffin,surgery on left knee to repair torn meniscus (out indefinitely)
2012/7/18,Cavaliers,,Kyrie Irving,surgery to repair broken right hand (out indefinitely)
2012/7/19,Thunder,,Kendrick Perkins,surgery on left wrist to repair torn ligament (out indefinitely)
2012/7/27,Hornets,,Austin Rivers,surgery on right ankle to remove bone spurs (out indefinitely)
2012/8/5,Hornets,,Robin Lopez,surgery on left knee to repair medial meniscus
2012/8/21,Clippers,,Chris Paul,surgery on right thumb to repair torn ligament (out indefinitely)
2012/9/7,Knicks,,Ronnie Brewer,surgery on left knee to repair torn meniscus (out indefinitely)
2012/9/11,Blazers,,Elliot Williams,torn left Achilles tendon (out indefinitely)
2012/9/14,Blazers,,Elliot Williams,surgery to repair torn left Achilles tendon (out for season)
2012/9/20,Suns,,Channing Frye,enlarged heart (out indefinitely)
2012/9/24,Lakers,,Steve Blake,foot injury (out indefinitely)
2012/9/26,Grizzlies,,Darrell Arthur,fractured fibula in left leg (out indefinitely)
2012/9/28,Wizards,,John Wall (a),stress fracture in left kneecap (out indefinitely)
2012/10/1,76ers,,Andrew Bynum,rehab on knee (out indefinitely)
2012/10/10,Knicks,,Chris Smith (c),surgery on knee (out indefinitely)
2012/10/17,Timberwolves,,Kevin Love,fractured right hand (out indefinitely)
2012/10/19,Mavericks,,Dirk Nowitzki,arthroscopic surgery on right knee (out indefinitely)
2012/10/21,Knicks,,Amare Stoudemire / Amar'e Stoudemire,ruptured cyst in left knee (out indefinitely)
2012/10/30,Bulls,,Derrick Rose,recovering from surgery on left knee to repair torn ACL (out indefinitely)
2012/10/30,Knicks,,Amare Stoudemire / Amar'e Stoudemire,arthroscopic surgery on left knee (out indefinitely) (date approximate)
2012/10/30,Knicks,,Iman Shumpert,recovering from surgery on left knee to repair torn lateral meniscus / ACL (CBC) (out indefinitely)
2012/10/30,Nuggets,,Julyan Stone,surgery on hip (out indefinitely)
2012/10/30,Pacers,,Danny Granger,sore left knee (out indefinitely)
2012/10/30,Celtics,,Avery Bradley,surgery on left shoulder (out indefinitely)
2012/11/3,Nuggets,,Wilson Chandler,recovering from surgery on left hip to repair torn labrum (out indefinitely)
2012/11/3,Warriors,,Brandon Rush,torn ACL in left knee (out for season)
2012/11/6,Bobcats,,Gerald Henderson (b),sprained left foot (out indefinitely)
2012/11/7,Lakers,,Earl Clark,strained left groin (out indefinitely)
2012/11/11,Timberwolves,,Chase Budinger,torn meniscus in left knee (out indefinitely)
2012/11/13,Timberwolves,,Chase Budinger,surgery on left knee to repair torn meniscus (out indefinitely)
2012/11/15,Raptors,,Landry Fields,ulnar nerve transpostion surgery on right elbow (out indefinitely)
2012/11/16,Cavaliers,,Luke Harangody,surgury on right knee (out indefinitely)
2012/11/16,Spurs,,Kawhi Leonard,quadriceps tendinitis in left knee (out indefinitely)
2012/11/19,Cavaliers,,Kyrie Irving,fractured left index finger (out indefinitely)
2012/11/19,Spurs,,Stephen Jackson,fractured right pinky finger (out indefinitely)
2012/11/19,Timberwolves,,Brandon Roy,arthroscopic surgery on right knee (out indefinitely)
2012/12/2,Bulls,,Richard Hamilton,torn plantar fascia in left foot (out indefinitely)
2012/12/3,Lakers,,Steve Blake,surgery to repair torn abdominal muscle (out indefinitely) (date approximate)
2012/12/19,Celtics,,Chris Wilcox,sprained right thumb (out indefinitely)
2012/12/20,Magic,,Glen Davis,strained left shoulder (out indefinitely)
2012/12/20,Timberwolves,,Josh Howard,torn ACL in right knee (out indefinitely)
2012/12/21,Raptors,,Jonas Valanciunas,fractured right ring finger (out indefinitely)
2012/12/23,Bobcats,,Byron Mullens / B.J. Mullens,sprained left ankle (out indefinitely)
2012/12/23,Jazz,,Maurice Williams / Mo Williams,sprained right thumb (out indefiinitely)
2013/1/2,Jazz,,Maurice Williams / Mo Williams,surgery on right thumb (out indefinitely)
2013/1/10,Cavaliers,,Anderson Varejao,surgery on right knee to repair torn muscle
2013/1/12,Timberwolves,,Malcolm Lee / Malcom Lee,surgery on right knee and right hip (out for season) (date approximate)
2013/1/14,Spurs,,Emanuel Ginobili / Manu Ginobili,strained left hamstring (out indefinitely)
2013/1/15,Timberwolves,,Kevin Love,surgery to repair fractured right hand/finger
